ID,code_module,Total Of sum_click,Distinction,Fail,Pass,Withdrawn
61,AAA,95,,,4.042105263,
62,AAA,161,,,,3.577639752
63,AAA,29,,,2.931034483,
64,AAA,119,,,3.798319328,
65,AAA,97,,,2.835051546,
66,AAA,109,,,2.899082569,
67,AAA,83,,,3.144578313,
68,AAA,373,,,4.528150134,
69,AAA,374,,,4.101604278,
70,AAA,148,,,4.858108108,
71,AAA,22,,4.409090909,,
72,AAA,210,,,3.176190476,
73,AAA,130,,,,3.376923077
74,AAA,184,,,4.298913043,
75,AAA,92,,,2.836956522,
76,AAA,155,,,2.903225806,
77,AAA,76,,4.013157895,,
78,AAA,223,,,3.946188341,
79,AAA,465,6.079569892,,,
80,AAA,247,,,,4.064777328
81,AAA,106,,,4.537735849,
82,AAA,183,,,4.06010929,
83,AAA,43,,,,3.976744186
84,AAA,111,,,2.315315315,
85,AAA,186,,,,4.569892473
86,AAA,200,,,3.475,
87,AAA,63,,3.746031746,,
88,AAA,266,3.988721805,,,
89,AAA,139,,4.517985612,,
90,AAA,39,,,2.076923077,
91,AAA,37,,,1.864864865,
92,AAA,66,,,3.53030303,
93,AAA,70,,,3.185714286,
94,AAA,109,,,4.825688073,
95,AAA,63,,,,2.841269841
96,AAA,43,,,3.697674419,
97,AAA,181,,,3.005524862,
98,AAA,28,,,2.357142857,
99,AAA,51,,,3.176470588,
100,AAA,186,,,3.892473118,
101,AAA,106,,3.254716981,,
102,AAA,83,,,2.722891566,
103,AAA,120,,,3.666666667,
104,AAA,213,,,3.924882629,
105,AAA,279,,,4.258064516,
106,AAA,56,,,4.660714286,
107,AAA,86,,,2.895348837,
108,AAA,227,,,3.872246696,
109,AAA,61,,,,3.278688525
110,AAA,115,,,3.347826087,
111,AAA,231,,,4.186147186,
112,AAA,162,,5.240740741,,
113,AAA,30,,,,4.7
114,AAA,204,,,5.156862745,
115,AAA,200,,,,5.595
116,AAA,105,3.59047619,,,
117,AAA,48,,,3.229166667,
118,AAA,46,,1.934782609,,
119,AAA,18,,2.722222222,,
120,AAA,161,,,5.614906832,
121,AAA,43,,,2.627906977,
122,AAA,51,,,4.549019608,
123,AAA,129,,,4.80620155,
124,AAA,34,,,3.852941176,
125,AAA,424,3.702830189,,,
127,AAA,8,,,1.5,
128,AAA,115,,,5.8,
129,AAA,57,,,3.98245614,
130,AAA,95,,3.010526316,,
131,AAA,167,4.425149701,,,
132,AAA,79,,,3.063291139,
133,AAA,175,,,4.045714286,
134,AAA,48,,3.1875,,
135,AAA,29,,3.965517241,,
136,AAA,154,,,3.831168831,
137,AAA,26,,,,2.615384615
138,AAA,82,,,3.890243902,
139,AAA,93,,,4.225806452,
140,AAA,378,,,3.296296296,
141,AAA,111,,,2.81981982,
142,AAA,115,,,4.069565217,
143,AAA,148,,,4.094594595,
144,AAA,428,9.918224299,,,
145,AAA,38,,,3.552631579,
146,AAA,143,,,3.097902098,
147,AAA,313,,,3.610223642,
148,AAA,519,,,6.229287091,
149,AAA,188,,,3.888297872,
150,AAA,114,,,4.114035088,
151,AAA,32,,,2.09375,
152,AAA,352,,,,4.988636364
153,AAA,96,,,4.510416667,
154,AAA,17,,,2.705882353,
155,AAA,58,,,3.327586207,
156,AAA,81,,3.197530864,,
157,AAA,73,,,,3.452054795
158,AAA,278,,,,4.028776978
159,AAA,125,,,4.352,
160,AAA,36,,,3.25,
162,AAA,188,,,,4.143617021
163,AAA,140,,,4.228571429,
164,AAA,121,,,3.173553719,
165,AAA,256,,,3.95703125,
166,AAA,20,,1.55,,
167,AAA,31,,,3.387096774,
168,AAA,145,3.620689655,,,
169,AAA,79,,,2.392405063,
170,AAA,27,,3.925925926,,
171,AAA,97,,,2.474226804,
172,AAA,46,,,,4.304347826
173,AAA,23,,2.086956522,,
174,AAA,76,,2.815789474,,
175,AAA,140,,,2.928571429,
176,AAA,179,,,3.592178771,
177,AAA,103,,,4.058252427,
178,AAA,38,,,3,
179,AAA,20,,3.6,,
180,AAA,97,,,3.670103093,
181,AAA,249,3.690763052,,,
182,AAA,89,,,5.775280899,
183,AAA,111,,,3.603603604,
184,AAA,76,,,2.078947368,
185,AAA,26,,,1.807692308,
186,AAA,117,,,3.307692308,
187,AAA,90,,,3.566666667,
188,AAA,75,,,4.08,
189,AAA,116,,,,3.043103448
190,AAA,68,,2.411764706,,
191,AAA,150,,,3.466666667,
192,AAA,65,,,3.707692308,
193,AAA,62,,,3.919354839,
194,AAA,103,,3.398058252,,
195,AAA,149,,,3.630872483,
196,AAA,152,,,4.282894737,
197,AAA,98,,,3.826530612,
198,AAA,135,,,2.903703704,
200,AAA,83,,,2.879518072,
201,AAA,210,,,,4.814285714
202,AAA,38,,2.842105263,,
203,AAA,29,,,2.931034483,
204,AAA,85,,,2.847058824,
205,AAA,61,,,2.62295082,
206,AAA,149,,,,4.154362416
207,AAA,100,3.2,,,
208,AAA,65,,,,5.092307692
209,AAA,169,,,5.378698225,
210,AAA,21,,2.761904762,,
211,AAA,74,,,4.716216216,
212,AAA,109,,,3.348623853,
213,AAA,127,,,4.62992126,
214,AAA,71,,,2.225352113,
215,AAA,228,,,4.75,
216,AAA,121,,,4.123966942,
217,AAA,18,,4.222222222,,
218,AAA,41,,,,5.512195122
219,AAA,38,,,4.184210526,
220,AAA,102,,,6.019607843,
221,AAA,21,,4.19047619,,
222,AAA,277,,,5.285198556,
223,AAA,81,,,3.37037037,
224,AAA,85,,,,3.752941176
225,AAA,81,,3.777777778,,
226,AAA,210,,,4.261904762,
227,AAA,234,4.452991453,,,
228,AAA,282,,,,4.354609929
229,AAA,322,,,4.288819876,
230,AAA,359,5.183844011,,,
231,AAA,179,,,4.195530726,
232,AAA,137,,,2.97080292,
233,AAA,73,,,3.219178082,
234,AAA,57,,,3.350877193,
235,AAA,228,,,,3.24122807
236,AAA,220,,,4.159090909,
237,AAA,280,,,6.485714286,
238,AAA,124,,,3.701612903,
239,AAA,166,,,4.012048193,
240,AAA,99,,,,3.838383838
241,AAA,50,,3.5,,
242,AAA,121,,,3.685950413,
243,AAA,165,,4.818181818,,
244,AAA,138,,,,3.384057971
245,AAA,235,,,3.4,
246,AAA,51,,4.666666667,,
247,AAA,190,,,5.726315789,
248,AAA,253,,,4.660079051,
249,AAA,40,,,6.875,
250,AAA,132,,5.053030303,,
251,AAA,456,4.199561404,,,
252,AAA,354,,,4.310734463,
253,AAA,201,,,,3.199004975
254,AAA,166,,,4.114457831,
255,AAA,109,,,3.47706422,
256,AAA,321,,,,4.725856698
257,AAA,30,,,,14
258,AAA,355,,,6.411267606,
259,AAA,104,,,4.653846154,
260,AAA,61,,,3.393442623,
261,AAA,281,,,4.170818505,
262,AAA,169,,,4.798816568,
263,AAA,133,,,3.556390977,
264,AAA,97,,,3.340206186,
265,AAA,161,,,5.248447205,
266,AAA,190,,,4.152631579,
267,AAA,67,,,3.970149254,
268,AAA,477,,,,6.737945493
269,AAA,67,,,3.671641791,
270,AAA,97,,,3.391752577,
271,AAA,73,,,4.767123288,
272,AAA,168,,,4.19047619,
273,AAA,180,,3.611111111,,
274,AAA,8,,,,3.75
275,AAA,185,,,,2.967567568
276,AAA,93,,,3.52688172,
277,AAA,120,,,3.316666667,
278,AAA,199,,5.256281407,,
279,AAA,77,,,4.779220779,
280,AAA,218,4.903669725,,,
281,AAA,131,,,,2.671755725
282,AAA,106,,,6.113207547,
283,AAA,161,,,3.670807453,
284,AAA,88,,,,3.625
285,AAA,150,,,6.273333333,
286,AAA,119,,,5.56302521,
287,AAA,56,,3.321428571,,
288,AAA,84,,,4.238095238,
289,AAA,284,,,3.98943662,
290,AAA,123,,,4.406504065,
291,AAA,123,,,3.93495935,
292,AAA,136,,,3.360294118,
293,AAA,216,,,4.101851852,
294,AAA,260,,,,4.157692308
295,AAA,174,,,3,
296,AAA,54,,,3.611111111,
297,AAA,59,,,3.440677966,
298,AAA,85,,,,3.317647059
301,AAA,71,,,3.408450704,
302,AAA,36,6.5,,,
303,AAA,157,,3.815286624,,
304,AAA,47,,3.276595745,,
305,AAA,123,,3.37398374,,
306,AAA,75,,,,4.16
307,AAA,491,,,4.531568228,
309,AAA,97,,,4.082474227,
310,AAA,153,,,5.470588235,
311,AAA,130,,,2.576923077,
312,AAA,60,,,,5.5
313,AAA,67,,4.865671642,,
314,AAA,169,,,,7.568047337
315,AAA,328,4.484756098,,,
316,AAA,121,,,4.760330579,
317,AAA,116,,,,4.474137931
318,AAA,155,,,5.025806452,
319,AAA,55,,,2.163636364,
320,AAA,32,,2.96875,,
321,AAA,130,,,4.646153846,
322,AAA,178,,,4.887640449,
323,AAA,174,,,5.293103448,
324,AAA,124,,4.330645161,,
325,AAA,23,,4.47826087,,
326,AAA,247,,,,3.372469636
327,AAA,36,,,3.194444444,
328,AAA,217,,,5,
329,AAA,127,,,4.708661417,
330,AAA,118,,,3.389830508,
331,AAA,105,,,3.676190476,
332,AAA,146,,,3.534246575,
333,AAA,128,,,4.0625,
334,AAA,86,,,3.313953488,
335,AAA,94,,,2.021276596,
336,AAA,152,,,4.184210526,
337,AAA,54,,,3.37037037,
338,AAA,87,2.747126437,,,
339,AAA,61,,,,3.737704918
340,AAA,173,,,4.861271676,
341,AAA,86,,,3.395348837,
342,AAA,68,,,,6.323529412
343,AAA,304,,,5.023026316,
344,AAA,350,,,5.214285714,
345,AAA,100,,,3.34,
346,AAA,19,,,5.526315789,
347,AAA,84,,,4.726190476,
348,AAA,100,,,3.3,
349,AAA,5,,,,5
350,AAA,81,,,3.148148148,
351,AAA,130,,,4.607692308,
352,AAA,84,,,,2.964285714
353,AAA,134,,,3.029850746,
354,AAA,227,,,4.942731278,
355,AAA,135,,,5.666666667,
356,AAA,129,,,4.558139535,
357,AAA,88,,,3.863636364,
358,AAA,54,,,4.296296296,
359,AAA,51,,,2.549019608,
360,AAA,84,,,4.30952381,
361,AAA,105,,,2.676190476,
362,AAA,29,,3.172413793,,
363,AAA,78,,,2.782051282,
364,AAA,160,,,2.55,
365,AAA,172,,,3.319767442,
366,AAA,405,,,3.854320988,
367,AAA,205,,,3.956097561,
368,AAA,101,,,4.089108911,
369,AAA,213,4.755868545,,,
370,AAA,75,,,3.066666667,
371,AAA,56,,,2.785714286,
372,AAA,62,,,3.225806452,
373,AAA,26,,2.692307692,,
374,AAA,158,,,5.240506329,
375,AAA,47,,3.085106383,,
376,AAA,166,,,3.644578313,
377,AAA,195,,,3.492307692,
378,AAA,34,,,2.529411765,
379,AAA,396,2.398989899,,,
380,AAA,168,3.267857143,,,
381,AAA,50,,,1.88,
382,AAA,168,,,4.601190476,
383,AAA,92,,,3.52173913,
396,AAA,26,,3.615384615,,
404,AAA,88,,,3.340909091,
416,AAA,132,,,,3.053030303
423,AAA,25,,,,2.28
424,AAA,67,,,3.23880597,
427,AAA,5,,,1.4,
430,AAA,114,,,3.473684211,
431,AAA,238,,,3.592436975,
436,AAA,121,,,4.52892562,
438,AAA,161,,,,3.577639752
449,AAA,247,,,4.064777328,
458,AAA,63,,,2.841269841,
467,AAA,61,,,,3.278688525
473,AAA,30,,4.7,,
479,AAA,200,,,,5.595
518,AAA,352,4.988636364,,,
522,AAA,278,,,4.028776978,
526,AAA,188,,,4.143617021,
556,AAA,116,,,3.043103448,
575,AAA,210,,4.814285714,,
589,AAA,65,,,,5.092307692
620,AAA,85,,,,3.752941176
639,AAA,282,,,,4.354609929
647,AAA,99,,,3.838383838,
649,AAA,138,,,,3.384057971
652,AAA,51,,,4.666666667,
671,AAA,477,,,6.737945493,
676,AAA,185,,2.967567568,,
679,AAA,131,,,2.671755725,
695,AAA,75,,,4.16,
704,AAA,116,,4.474137931,,
709,AAA,247,,3.372469636,,
724,AAA,5,,,5,
726,AAA,84,,2.964285714,,
26316,AAA,95,,,3.010526316,
