ID,code_module,Total Of sum_click,Distinction,Fail,Pass,Withdrawn
230,AAA,618,3.885113269,,,
231,AAA,221,,,3.787330317,
232,AAA,207,,,2.198067633,
233,AAA,112,,,3.464285714,
234,AAA,67,,,3.910447761,
235,AAA,328,,,,2.487804878
236,AAA,180,,,3.366666667,
237,AAA,388,,,4.847938144,
238,AAA,164,,,3.024390244,
239,AAA,144,,,3.284722222,
240,AAA,44,,,,3.75
241,AAA,32,,1.9375,,
242,AAA,55,,,2.8,
243,AAA,98,,4.663265306,,
245,AAA,233,,,3.768240343,
246,AAA,50,,3.18,,
247,AAA,194,,,4.12371134,
248,AAA,316,,,3.493670886,
249,AAA,57,,,4.807017544,
250,AAA,44,,3.409090909,,
251,AAA,502,3.378486056,,,
252,AAA,452,,,3.276548673,
254,AAA,166,,,3.337349398,
255,AAA,187,,,3.919786096,
256,AAA,329,,,,3.765957447
258,AAA,482,,,3.352697095,
259,AAA,69,,,4.550724638,
260,AAA,36,,,3.472222222,
261,AAA,387,,,3.896640827,
262,AAA,323,,,4.770897833,
263,AAA,162,,,2.882716049,
264,AAA,59,,,3.237288136,
265,AAA,143,,,3.72027972,
266,AAA,138,,,2.927536232,
267,AAA,33,,,2.151515152,
268,AAA,656,,,,5.722560976
269,AAA,85,,,2.941176471,
270,AAA,82,,,2.829268293,
271,AAA,23,,,1.695652174,
272,AAA,155,,,3.270967742,
273,AAA,222,,3.306306306,,
274,AAA,238,,,,5.865546218
275,AAA,135,,,,2.125925926
276,AAA,92,,,3.315217391,
277,AAA,51,,,1.960784314,
278,AAA,134,,3.574626866,,
279,AAA,48,,,3.333333333,
280,AAA,263,4.231939163,,,
281,AAA,193,,,,2.943005181
282,AAA,104,,,4.673076923,
283,AAA,189,,,3.116402116,
285,AAA,233,,,3.905579399,
286,AAA,67,,,3.731343284,
287,AAA,20,,2.25,,
288,AAA,135,,,3.125925926,
289,AAA,447,,,2.474272931,
290,AAA,96,,,3.197916667,
291,AAA,125,,,3.568,
292,AAA,111,,,2.801801802,
293,AAA,186,,,3.14516129,
294,AAA,261,,,,3.344827586
295,AAA,167,,,2.832335329,
296,AAA,21,,,1.857142857,
297,AAA,15,,,2,
298,AAA,146,,,,3.48630137
301,AAA,45,,,1.977777778,
302,AAA,53,3.981132075,,,
303,AAA,109,,3.220183486,,
304,AAA,40,,2.75,,
305,AAA,138,,2.942028986,,
306,AAA,31,,,,1.967741935
307,AAA,689,,,3.087082729,
309,AAA,157,,,3.331210191,
310,AAA,123,,,4.593495935,
311,AAA,66,,,2.454545455,
312,AAA,77,,,,4.272727273
313,AAA,15,,5.266666667,,
314,AAA,69,,,,3.144927536
315,AAA,316,3.224683544,,,
316,AAA,225,,,3.346666667,
317,AAA,43,,,,3.162790698
318,AAA,151,,,4.039735099,
319,AAA,61,,,2.06557377,
320,AAA,21,,1.571428571,,
321,AAA,149,,,4.134228188,
322,AAA,275,,,3.425454545,
323,AAA,189,,,3.91005291,
324,AAA,110,,3.818181818,,
325,AAA,82,,3.37804878,,
326,AAA,281,,,,3.163701068
327,AAA,40,,,2.025,
328,AAA,147,,,2.931972789,
329,AAA,165,,,4.103030303,
330,AAA,201,,,2.980099502,
331,AAA,137,,,3.01459854,
332,AAA,188,,,3.361702128,
333,AAA,145,,,3.179310345,
334,AAA,47,,,2.765957447,
335,AAA,65,,,1.953846154,
336,AAA,72,,,3.180555556,
337,AAA,77,,,2.558441558,
338,AAA,88,2.556818182,,,
340,AAA,172,,,4.784883721,
341,AAA,110,,,2.181818182,
342,AAA,10,,,,6.2
343,AAA,272,,,3.911764706,
344,AAA,526,,,3.790874525,
345,AAA,58,,,2.25862069,
347,AAA,96,,,2.802083333,
348,AAA,85,,,3.329411765,
349,AAA,1,,,,1
350,AAA,133,,,2.586466165,
351,AAA,148,,,4.337837838,
352,AAA,1,,,,1
353,AAA,154,,,2.655844156,
354,AAA,203,,,3.802955665,
355,AAA,50,,,5.38,
356,AAA,116,,,3.49137931,
357,AAA,58,,,3.327586207,
358,AAA,45,,,3.844444444,
359,AAA,36,,,1.888888889,
360,AAA,83,,,5.084337349,
361,AAA,92,,,2.152173913,
363,AAA,72,,,2.194444444,
364,AAA,262,,,2.301526718,
365,AAA,171,,,3.228070175,
366,AAA,380,,,3.1,
367,AAA,133,,,2.789473684,
368,AAA,119,,,2.941176471,
369,AAA,450,3.78,,,
370,AAA,74,,,1.932432432,
371,AAA,89,,,2.449438202,
372,AAA,52,,,1.865384615,
373,AAA,50,,1.98,,
374,AAA,200,,,4.245,
375,AAA,78,,1.897435897,,
376,AAA,129,,,3.062015504,
377,AAA,145,,,3.193103448,
378,AAA,12,,,1.333333333,
379,AAA,556,2.143884892,,,
380,AAA,213,3.103286385,,,
381,AAA,67,,,2.179104478,
382,AAA,381,,,3.228346457,
383,AAA,81,,,2.913580247,
396,AAA,28,,2.75,,
404,AAA,14,,,3.214285714,
416,AAA,150,,,,3.62
424,AAA,42,,,1.666666667,
427,AAA,39,,,3.487179487,
430,AAA,45,,,1.777777778,
431,AAA,196,,,3.025510204,
436,AAA,83,,,2.903614458,
438,AAA,159,,,,3.830188679
449,AAA,146,,,2.945205479,
458,AAA,8,,,1.375,
467,AAA,37,,,,3.783783784
473,AAA,1,,1,,
479,AAA,163,,,,3.030674847
518,AAA,175,3.542857143,,,
522,AAA,310,,,2.85483871,
526,AAA,40,,,2.525,
556,AAA,58,,,2.155172414,
575,AAA,58,,4.689655172,,
589,AAA,16,,,,4.3125
620,AAA,61,,,,3.639344262
647,AAA,44,,,3.75,
652,AAA,50,,,3.18,
671,AAA,656,,,5.722560976,
676,AAA,135,,2.125925926,,
679,AAA,193,,,2.943005181,
695,AAA,31,,,1.967741935,
704,AAA,43,,3.162790698,,
709,AAA,281,,3.163701068,,
724,AAA,1,,,1,
726,AAA,1,,1,,
26316,AAA,123,,,2.276422764,
